"Name","Count"
"archive","12391"
"projects","6236"
"_tmp_replit_restore_20260309-1647","6222"
"ops","65"
"TonyOS","32"
"scripts","17"
"prompts","11"
"OpenClawMissionControl","11"
"pipelines","9"
"memory","8"
"runbooks","7"
"outputs","7"
"inbox","4"
"deliverables","4"
"reference","4"
"reports","3"
"job_pipeline","2"
"workspace-inventory.json","1"
"WORKFLOW.md","1"
"USER.md","1"
".openclaw","1"
"logs","1"
"data","1"
".env.example","1"
"TOOLS.md","1"
"HEARTBEAT.md","1"
"filelist.txt","1"
"IDENTITY.md","1"
"MASTER_INDEX.md","1"
"LEGAL_COMPLIANCE.md","1"
"ERROR_LOG.md","1"
"AGENT_RULES.md","1"
"AGENTS.md","1"
"BOOTSTRAP.md","1"
"DATA_POLICY.md","1"
"COST_GUARDRAILS.md","1"
"MEMORY.md","1"
"sync-monitor.ps1","1"
"sync-monitor.log","1"
"SYSTEM_ARCHITECTURE.md","1"
"SYSTEM_STATE.md","1"
"SYSTEM_CONFIG.md","1"
"SOUL.md","1"
"OPENCLAW_COMMANDS.md","1"
"openclaw_backup_20260304_1536.zip","1"
"recovery-memory-export.json","1"
"SECURITY.md","1"
"SCRAPER_POLICY.md","1"
